file,Organ_unique_count,AS_unique_count,FTU_unique_count,CT_unique_count,B_unique_count,Total_per_spatial_sum,Global_unique_across_spatials
Cardiovascular_system_v1_spatial_temporal_table,0,5,0,6,0,11,10
Digestive_system_v1_spatial_temporal_table,106,36,0,75,0,217,216
Endocrine_System_v1_spatial_temporal_table,8,5,0,46,0,59,59
Fascia_System_v1_spatial_temporal_table,13,50,0,28,0,91,85
Female_reproductive_v_spatial_temporal_table,10,28,0,22,0,60,60
Male_reproductive_spatial_temporal_table,3,17,0,8,0,28,28
Muscular_system_v1_spatial_temporal_table,0,0,0,2,0,2,2
Pulmonary_system_v1_spatial_temporal_table,124,32,0,31,0,187,187
Skeletal_system_v1_spatial_temporal_table,0,0,0,4,0,4,4
Urinary_system_v1_spatial_temporal_table,50,22,0,71,0,143,142
