Whole Person Physiome Table for Connective-Tissue system: Fascia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Minyan Zhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-1868-3896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer Name(s):,Rebecca Wells,Katalin Susztak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0002-6988-4102,0000‑0002‑1005‑3726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,"Fascia: The Tensional Network of the Human Body (2e, 2018)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,11/25/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"List physiological functions as a hierarchy, starting with the body system in Function/1 (this should be the same as the table name), a major life function in Function/2, and more specific functions in subsequent columns. Add more columns if needed. Place limited explanatory text if needed in Function/Notes. Each function should include a ID from Gene Ontology (GO) if possible or another standard ontology. The LABEL column is the label for that ID as it appears in that ontology.",,,,,,,,,,,,,,,,,,,,,,,,,"Provide a very brief description (a few words) of the specific processes that occur during the corresponding function (e.g., a chemical reaction, physical change, feedback loop, etc.) in the Process column. Enter whether the Effector is a cell, tissue, or organ. Provide the anatomical location of the Effector in EffectorLocation along with the associated UBERON ID, if avaialble. Enter the Effector and its UBERON ID in the following columns. See Glossary for detailed instructions on tabulating the Signal, Effect, Behavior, Behavior X, Behavior Y, and X Target columns.",,,,,,,,,,,,,,"Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the time scale category for this process: milliseconds, seconds, minutes, hours, days, weeks, years.","OPTIONAL FOR NOW. List clinical measures, such as laboratory tests, vital signs, or radiology studies, related to the physiological function. These columns are simple lists and are NOT hierarchical. Include an ID for the measurement, such as a LOINC code, if known. Add more columns if needed.",,,,,,,,,,,,"OPTIONAL FOR NOW. List other interacting physiological functions. These columns are simple lists and NOT hierarchical. Add more columns if needed. For the LABEL and ID columns, use Gene Ontology (GO) if possible.",,,,,,,,,,,,"REQUIRED. Enter references in support of the information on this row. The ID column should include a standard identifier, such as a DOI or ISBN. The optional CHAPTER column should be used to list the relevant chapters in a book. The optional NOTES column can be used to clarify which part of the row the reference is for, such as a reference about the anatomical structures involved in the function rather than the interactions. Add more sets of reference columns if needed, making sure to include the ID column.",,,,,,,,,,,
Function/1,Function/1/LABEL,Function/1/ID,Function/2,Function/2/LABEL,Function/2/ID,Function/3,Function/3/LABEL,Function/3/ID,Function/4,Function/4/LABEL,Function/4/ID,Function/5,Function/5/LABEL,Function/5/ID,Function/6,Function/6/LABEL,Function/6/ID,Function/7,Function/7/LABEL,Function/7/ID,Function/8,Function/8/LABEL,Function/8/ID,Function/Notes,Process,EffectorScale,EffectorLocation,EffectorLocation/LABEL,EffectorLocation/ID,Effector,Effector/LABEL,Effector/ID,Signal,Effect,Behavior,Behavior X,Behavior Y,EffectParameters (quantitative values),SignalScale,EffectScale,TimeScale,ClinicalMeasure/1,ClinicalMeasure/1/LABEL,ClinicalMeasure/1/ID,ClinicalMeasure/2,ClinicalMeasure/2/LABEL,ClinicalMeasure/2/ID,ClinicalMeasure/3,ClinicalMeasure/3/LABEL,ClinicalMeasure/3/ID,ClinicalMeasure/4,ClinicalMeasure/4/LABEL,ClinicalMeasure/4/ID,Interaction/1,Interaction/1/LABEL,Interaction/1/ID,Interaction/2,Interaction/2/LABEL,Interaction/2/ID,Interaction/3,Interaction/3/LABEL,Interaction/3/ID,Interaction/4,Interaction/4/LABEL,Interaction/4/ID,REF/1,REF/1/ID,REF/1/CHAPTER,REF/1/NOTES,REF/2,REF/2/ID,REF/2/CHAPTER,REF/2/NOTES,REF/3,REF/3/ID,REF/3/CHAPTER,REF/3/NOTES
The physiology of fascia- Biomechanical mediatos,fascia adherens,GO:0005916,Connective tissue under traction,connective tissue replacement,GO:0097709,Resist tensile load and maintain stability,extracellular matrix structural constituent,GO:0005201,,,,,,,,,,,,,,,,,Fibroblasts under traction synthesize predominantly type I collagen with minimal ground substance,Cell,Tendon; ligament; joint capsule,articular capsule,UBERON:0001484,Fibroblast,tendon cell,CL:0000388,traction,increases,X synthesis of Y,Fibroblasts,type I collagen fibers,,Intra-organ (Tissue),Tissue,weeks,Joint range of motion,,, tissue stiffness on palpation,,,,,,,,,traction–collagen network interaction,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,4.1,,,,,,,,,
The physiology of fascia- Biomechanical mediatos,fascia adherens,GO:0005916,Connective tissue under pressure,connective tissue replacement,GO:0097709,Resist compressive load and maintain shape,regulation of cell shape,GO:0008360,,,,,,,,,,,,,,,,,Chondroblasts under pressure synthesize abundant ground substance with thin type II collagen,Cell,Hyaline cartilage; nucleus pulposus,nucleus pulposus,UBERON:0002242,Chondroblast,connective tissue cell,CL:0002320,pressure,increases,X synthesis of Y,Chondroblasts,ground substance matrix with thin type II collagen,,Intra-organ (Tissue),Tissue,weeks,Load-bearing tolerance,,, pain on compression,,,,,,,,,compression–cartilage matrix interaction,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,4.1,,,,,,,,,
The physiology of fascia- Tissue remodeling,fascia adherens,GO:0005916,Joint capsule remodeling with extension,capsule,GO:0042603,Restore capsular mobility and stability after injury,,,,,,,,,,,,,,,,,,,Gradually increased painless extension stimulates realignment and stabilization of capsular collagen,Tissue,Joint capsule,articular capsule,UBERON:0001484,Joint capsule,articular capsule,UBERON:0001484,physiological stretching,increases,X remodeling by Y,Joint capsule,realignment and stabilization of capsular collagen,,Intra-organ (Tissue),Tissue,weeks,Passive joint ROM,,, end-feel assessment,,,,,,,,,extension–capsule remodeling interaction,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,4.1,,,,,,,,,
The physiology of fascia- Tissue remodeling,fascia adherens,GO:0005916,Cartilage repair with compression,cartilage development,GO:0051216,Support cartilage repair and nutrition,cartilage development,GO:0051216,,,,,,,,,,,,,,,,,Repeated axial loading and unloading provides physiological compression–relief cycles to injured cartilage,Tissue,Articular cartilage,trachea non-cartilage connective tissue,UBERON:0009644,Articular cartilage,trachea non-cartilage connective tissue,UBERON:0009644,Repeated axial loading and unloading ,increases,X repair by Y,Joint cartilage,physiological compression–relief cycles,,Intra-organ (Tissue),Tissue,weeks,Weight-bearing tolerance,,, joint line pain under load,,,,,,,,,compression–cartilage repair interaction,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,4.1,,,,,,,,,
The physiology of fascia- Tissue remodeling,fascia adherens,GO:0005916,Meniscus loading with traction,,,Stimulate meniscal healing via tensile load,wound healing,GO:0042060,,,,,,,,,,,,,,,,,Knee flexion with rotation applies traction to the collagen-rich meniscus,Tissue,Meniscus,connective tissue,UBERON:0002384,Meniscus,connective tissue,UBERON:0002384,Knee flexion with rotation,increases,X traction,collagen-rich meniscus,,,Intra-organ (Tissue),Tissue,weeks,McMurray test,,, joint line tenderness,,,,,,,,,traction–meniscus interaction,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,4.1,,,,,,,,,
The physiology of fascia- Tissue remodeling,fascia adherens,GO:0005916,Wound healing – inflammatory phase,wound healing,GO:0042060,Initiate coagulation and early inflammatory response,coagulation,GO:0050817,,,,,,,,,,,,,,,,,Initial bleeding triggers mediator release and recruitment of mobile fibroblasts (myofibroblasts) into injury site,Cell,Injured connective tissue,connective tissue,UBERON:0002384,Fibroblast; immune cell,connective tissue cell,CL:0002320,bleeding,increases,X migration to Y,Fibroblasts,injury site,,Intra-organ (Tissue),Tissue,days,"Inspection of redness, heat, swelling, pain",,,,,,,,,,,,inflammation–fibroblast recruitment interaction,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,4.1,,,,,,,,,
The physiology of fascia- Tissue remodeling,fascia adherens,GO:0005916,Wound healing – proliferation phase,wound healing,GO:0042060,Form provisional collagen scaffold,complex of network-forming collagens,GO:0098645,,,,,,,,,,,,,,,,,Fibroblasts intensify synthesis of a fine type III collagen network to close the wound,Cell,Granulation tissue in injured area,granulation tissue,UBERON:0010211,Fibroblast,connective tissue cell,CL:0002320,,does,X synthesis ,type III collagen network ,,,,Tissue,weeks,Wound closure and early tensile strength testing,,,,,,,,,,,,growth factor–collagen scaffold interaction,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,4.1,,,,,,,,,
The physiology of fascia- Tissue remodeling,fascia adherens,GO:0005916,Wound healing – reconstruction phase,wound healing,GO:0042060,Restore mechanical strength with mature collagen,collagen metabolic process,GO:0032963,,,,,,,,,,,,,,,,,Progressive loading promotes conversion of unstable type III collagen into stable type I collagen and reorients fibers,Tissue,Maturing scar; remodeled connective tissue,connective tissue,UBERON:0002384,Maturing scar; remodeled connective tissue,connective tissue,UBERON:0002384,progressive mechanical loading,does,X conversion to Y,unstable type III collagen,stable type I collagen and reorients fibers,,Intra-organ (Tissue),Tissue,years,Functional strength tests,,, return-to-sport assessment,,,,,,,,,load–collagen remodeling interaction,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,4.1,,,,,,,,,
The physiology of fascia- Metabolic & nutritional factors,fascia adherens,GO:0005916,Nutrition – protein and pH on fibroblasts,regulation of fibroblast proliferation,GO:0048145,Support collagen synthesis and connective tissue integrity,connective tissue replacement,GO:0097709,,,,,,,,,,,,,,,,,"Acid-forming animal protein lowers interstitial pH below 6.5, hindering fibroblast synthesis and promoting degeneration",Tissue,Interstitial space of connective tissue,connective tissue,UBERON:0002384,Interstitial space of connective tissue,connective tissue,UBERON:0002384,acidification,decreases,X synthesis,fibroblast,,,microenvironment,Tissue,days,Dietary assessment,,, blood bicarbonate and pH measurement,,,,,,,,,pH–fibroblast activity interaction,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,4.1,,,,,,,,,
The physiology of fascia- Metabolic & nutritional factors,fascia adherens,GO:0005916,Nutrition – glucose and regeneration,regeneration,GO:0031099,Provide energy while influencing regeneration,regeneration,GO:0031099,,,,,,,,,,,,,,,,,Persistent high blood glucose from excess short-chain carbohydrates overstrains pancreas and impairs healing and regeneration,Organ,Systemic connective tissues,connective tissue,UBERON:0002384,connective tissue,connective tissue cell,CL:0002320,Glucose,decreases,X modulation of Y,connective tissue,tissue regeneration,,Intra-organ (Tissue),Systemic,years,Fasting plasma glucose,Exclusion criteria for fasting plasma glucose [PhenX],66179-3, HbA1c,HbA1c measurement device Vendor name,41961-4,,,,,,,glucose–healing interaction,,,,,,,,,,,,"Fascia: The Tensional Network of the Human Body (2e, 2018)",978-0702071836,4.1,,,,,,,,,
