cardiovascular-system,Cardiovascular_System.csv,https://docs.google.com/spreadsheets/d/1FqcYI9-YE_hOkeVRZ2fRA3SagXUWWW5_Ue_4ZpOWIIo/export?format=csv&gid=0
dental-and-craniofacial-system,Dental_and_Craniofacial_System.csv,https://docs.google.com/spreadsheets/d/114fnNgeKrE2wWQsjbXBsieV2bHpJlhTYeRYAb5knP5Q/export?format=csv&gid=0
digestive-system,Digestive_System.csv,https://docs.google.com/spreadsheets/d/1t5zVuEisuhfpGoehS8IsGbn1iOa_6KYQ/export?format=csv&gid=1120296321
endocrine-system,Endocrine_System.csv,https://docs.google.com/spreadsheets/d/1nEvT3tWfKM5CBNgNbUr5Ey1-ZIL9Qz6MQxmrKYrT6Xs/export?format=csv&gid=0
fascia-system,Fascia_System.csv,https://docs.google.com/spreadsheets/d/1hPCfuXJDrY9LK7qkq4i1hY_faAXbAbFx/export?format=csv&gid=1120296321
female-reproductive-system,Female_Reproductive_System.csv,https://docs.google.com/spreadsheets/d/1QMczdELeCxvuwWbAcMTBwWI8GhE0tXkc-AYsz_h3jMQ/export?format=csv&gid=0
immune-and-lymphatic-system,Immune_and_Lymphatic_System.csv,https://docs.google.com/spreadsheets/d/1rDGSU8SCjQGNeG-TA8GfcteukT1BD-qG/export?format=csv&gid=1983280911
integumentary-system,Integumentary_System.csv,https://docs.google.com/spreadsheets/d/1vaK-glmM2c9NGctcWJlgDg8ZJjc18t6H/export?format=csv&gid=1120296321
male-reproductive-system,Male_Reproductive_System.csv,https://docs.google.com/spreadsheets/d/18T52JbptFIwzef2fsGpDzl7YKgrlwrl3yT4DfPor3bM/export?format=csv&gid=0
muscular-system,Muscular_System.csv,https://docs.google.com/spreadsheets/d/11MYLCbMQsuFUnCsOYcb0COvLy6SBlaixkPsiLYQ_fpY/export?format=csv&gid=0
nervous-system,Nervous_System.csv,https://docs.google.com/spreadsheets/d/1iI1F50kSoui8ws_faI-l75e0KqdjlC5iL_VzJtwM6Nw/export?format=csv&gid=0
pulmonary-system,Pulmonary_System.csv,https://docs.google.com/spreadsheets/d/1ZzvaEiR5Ev1XmIuojyiVJl_SJDcrsSGF/export?format=csv&gid=1120296321
skeletal-system,Skeletal_System.csv,https://docs.google.com/spreadsheets/d/1u_SionA-IiKnJcx36r6qP3KNxcL0bXsLzXBDBqpNhOg/export?format=csv&gid=0
urinary-system,Urinary_System.csv,https://docs.google.com/spreadsheets/d/12iwUywZKXMEHBaZFZ3ezV5878At5fgMj/export?format=csv&gid=1120296321
